"Date","SP500_MarketCap_in_CNY"
"2024-01-01",3107256.43
"2024-01-02",3107256.49
"2024-01-03",3086529.19
"2024-01-04",3073336.6
"2024-01-05",3060540.18
"2024-01-06",3066458.9
"2024-01-09",3109888.57
"2024-01-10",3107545.85
"2024-01-11",3127734.12
"2024-01-12",3127117.92
"2024-01-13",3128267.36
"2024-01-17",3119987.03
"2024-01-18",3103634.55
"2024-01-19",3132180.79
"2024-01-20",3170504.49
"2024-01-23",3173970.94
"2024-01-24",3183796.68
"2024-01-25",3184670.27
"2024-01-26",3202571.89
"2024-01-27",3202065.67
"2024-01-30",3227173.57
"2024-01-31",3221142.27
"2024-02-01",3164262.56
"2024-02-02",3204404.22
"2024-02-03",3237501.2
"2024-02-06",3230932.36
"2024-02-07",3239015
"2024-02-08",3264192.89
"2024-02-09",3267024.83
"2024-02-10",3286632.27
"2024-02-13",3282431.95
"2024-02-14",3237083.42
"2024-02-15",3267692.87
"2024-02-16",3283349.72
"2024-02-17",3267783.16
"2024-02-21",3247006.76
"2024-02-22",3250431.16
"2024-02-23",3317008.65
"2024-02-24",3320459.39
"2024-02-27",3303458.17
"2024-02-28",3309224.7800000003
"2024-02-29",3302333.06
"2024-03-01",3319101.63
"2024-03-02",3344192.36
"2024-03-05",3334848.34
"2024-03-06",3302138.56
"2024-03-07",3316299.93
"2024-03-08",3351285.47
"2024-03-09",3330103.27
"2024-03-12",3328403.58
"2024-03-13",3365527.85
"2024-03-14",3358550.69
"2024-03-15",3354665.16
"2024-03-16",3331375.62
"2024-03-19",3361612.58
"2024-03-20",3380969.36
"2024-03-21",3410651.73
"2024-03-22",3418536.47
"2024-03-23",3419372.68
"2024-03-26",3405747.94
"2024-03-27",3394644.13
"2024-03-28",3422885.73
"2024-03-29",3426469.23
"2024-04-02",3417139.12
"2024-04-03",3393715.07
"2024-04-04",3397172.5
"2024-04-05",3353497.29
"2024-04-06",3390866.98
"2024-04-09",3391814.75
"2024-04-10",3398424.63
"2024-04-11",3367873.22
"2024-04-12",3395293.47
"2024-04-13",3346824.23
"2024-04-16",3306312.62
"2024-04-17",3301596.13
"2024-04-18",3285024.68
"2024-04-19",3277568.9
"2024-04-20",3249312.8
"2024-04-23",3277971.4899999998
"2024-04-24",3317783.53
"2024-04-25",3319516.94
"2024-04-26",3302141.49
"2024-04-27",3348850.26
"2024-04-30",3353745.31
"2024-05-01",3300540.16
"2024-05-02",3290614.11
"2024-05-03",3321951.25
"2024-05-04",3361638.11
"2024-05-07",3392170.02
"2024-05-08",3400214.2800000003
"2024-05-09",3396422.62
"2024-05-10",3413605.7
"2024-05-11",3416490.65
"2024-05-14",3417057.72
"2024-05-15",3435198.56
"2024-05-16",3474543.71
"2024-05-17",3468797.19
"2024-05-18",3475771.35
"2024-05-21",3479524.1
"2024-05-22",3490417.61
"2024-05-23",3480319.59
"2024-05-24",3453581.43
"2024-05-25",3478111.93
"2024-05-29",3479951.06
"2024-05-30",3455606.37
"2024-05-31",3432719.32
"2024-06-01",3457725.78
"2024-06-04",3462134.95
"2024-06-05",3468275.82
"2024-06-06",3509600.94
"2024-06-07",3511125.3
"2024-06-08",3504982.83
"2024-06-11",3514328.48
"2024-06-12",3526330.92
"2024-06-13",3556417.52
"2024-06-14",3561222.07
"2024-06-15",3562622.32
"2024-06-18",3589532.1
"2024-06-19",3595371.86
"2024-06-21",3590281.27
"2024-06-22",3587972.32
"2024-06-25",3591042.96
"2024-06-26",3609784.74
"2024-06-27",3616954.34
"2024-06-28",3623202.28
"2024-06-29",3604527.45
